"index" "Data" "Hora" "ID_antigo" "ID_novo" "revisor" "plotID" "qdID" "Dupla" "Especie.com.Certeza" "Palpite.Especie" "Nome.Cientifico" "Genero" "Familia" "Subordem" "Ordem" "Classe" "Enviar.Especialista" "Lat" "Lon" "Alt" "Precision" "ErrorCoor" "Exclude" "Foto.Toda.Carcaca" "Foto.Toda.Carcaca.1" "Foto.Cabeca.de.Frente" "Foto.Cabeca.de.Frente.1" "Foto.Cabeca.de.Lado" "Foto.Cabeca.de.Lado.1" "Foto.da.Pata" "Foto.da.Pata.1" "Outra.Foto1" "Outra.Foto1.1" "Outra.Foto2" "Outra.Foto2.1" "Carcaca.Coletada." "Tecido.Coletado." "Observacoes" "X_id" "X_uuid" "X_submission_time" "X_validation_status" "kobo_index" "form_kobo" "start" "end" "Coordenada.da.carcaca"
16 "02/10/2020" "14:09:00.000-03:00" "P6815_2" "P6815_1409" "Ingridi" "P6815" "148" "Dupla1" "Puma concolor" "onça-parda" "Puma concolor " "Puma" "Felidae" "" "Carnivora" "Mammalia" "sim" -16.597494 -56.291849 108 6.665999889 "" "" "1601662096652660491494722463174-15_9_29.jpg" "Foto Toda Carcaca" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "Sim" "Não" "" 69211034 "79bfa461-4cc3-43be-b2c9-846350ccf2f5" "2020-10-05T00:56:11" "" 37 "dusma" "2020-10-02T15:06:25.641-03:00" "2020-10-02T15:09:54.611-03:00" "-16.597494 -56.291849 108 6.665999889373779"
41 "05/10/2020" "09:27:00.000-04:00" "P3833_03" "P3836_0927" "Ingridi" "P3836" "76" "Dupla2" "Hydrochoerus hydrochaeris" "Capivara" "Hydrochoerus hydrochaeris" "Hydrochoerus" " 	Caviidae" "" "Rodentia" "Mammalia" "não" -16.619429 -56.373141 120.7116659 5 "" "" "image-9_19_47.jpg" "Foto Toda Carcaca" "image-9_23_26.jpg" "Foto Cabeca Frente" "" "Sem Foto" "image-9_20_52.jpg" "Foto da Pata" "image-9_21_48.jpg" "Outra Foto 1" "image-9_22_10.jpg" "Outra Foto 2" "Sim" "Não" "" 69290832 "1d845c43-54c1-4881-8e5f-8a615299a13f" "2020-10-05T16:04:25" "" 54 "dusma" "2020-10-05T09:18:03.102-04:00" "2020-10-05T09:27:08.990-04:00" "-16.619429 -56.373141 120.71166594432793 5"
56 "05/10/2020" "08:50:00.000-04:00" "P3954_08" "P3930_0850" "Ingridi" "P3954" "76" "Dupla1" "Hydrochoerus hydrochaeris" "Capivara" "Hydrochoerus hydrochaeris" "Hydrochoerus" "Caviidae" "" "Rodentia" "Mammalia" "não" -16.616215 -56.368002 125 6.06799984 "" "" "P_20201005_084755_vHDR_Auto-8_49_13.jpg" "Foto Toda Carcaca" "P_20201005_084745_vHDR_Auto-8_49_28.jpg" "Foto Cabeca Frente" "P_20201005_084725_vHDR_Auto-8_49_38.jpg" "Foto Cabeca Lado" "" "Sem Foto" "P_20201005_084832_vHDR_Auto-8_49_43.jpg" "Outra Foto 1" "P_20201005_084710_vHDR_Auto-8_49_51.jpg" "Outra Foto 2" "Não" "Não" "" 69330401 "14073bcf-4fa2-4aad-83c7-4575210759bf" "2020-10-05T21:58:01" "" 70 "dusma" "2020-10-05T08:48:46.277-04:00" "2020-10-05T08:50:03.764-04:00" "-16.616215 -56.368002 125 6.067999839782715"
100 "07/10/2020" "15:31:00.000-04:00" "P7007" "P7007_1531" "Thaís" "P7007" "153" "Dupla2" "" "Tatu-cascudo" "Euphractus sexcinctus" "Euphractus" "Chlamyphoridae" "" "Cingulata" "Mammalia" "sim" -16.501788 -56.299455 114.3 1.340000033 "" "" "16020989851106283214719181162352-15_29_58.jpg" "Foto Toda Carcaca" "16020990021846971079954468024626-15_30_22.jpg" "Foto Cabeca Frente" "16020990277613563718156167524703-15_30_42.jpg" "Foto Cabeca Lado" "" "Sem Foto" "16020990847378975185264459144530-15_31_30.jpg" "Outra Foto 1" "16020990615058409270492958130052-15_31_8.jpg" "Outra Foto 2" "Não" "Não" "" 69720936 "5f0c2b02-6858-4850-b38f-85b0e773e18c" "2020-10-09T00:26:22" "" 120 "dusma" "2020-10-07T15:29:23.616-04:00" "2020-10-07T15:32:03.976-04:00" "-16.501788 -56.299455 114.3 1.340000033378601"
102 "08/10/2020" "09:04:00.000-03:00" "P2261" "P2261_0904" "Thaís" "P2261" "61" "Dupla1" "Anta" "Anta" "Tapirus terrestris" "Tapirus" "Tapiridae" "" "Perissodactyla" "Mammalia" "não" -16.573482 -56.397066 119.7 2.059999943 "" "" "16021585792163842695154071000973-9_3_9.jpg" "Foto Toda Carcaca" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "16021586334176967610812764390280-9_4_2.jpg" "Outra Foto 1" "" "Sem Foto" "Não" "Não" "" 69723233 "1d3ae74d-9d4a-484f-9414-993bd9112c0b" "2020-10-09T02:17:07" "" 105 "dusma" "2020-10-08T09:02:19.654-03:00" "2020-10-08T09:04:14.780-03:00" "-16.573482 -56.397066 119.7 2.059999942779541"
111 "09/10/2020" "08:56:00.000-04:00" "P13927_1" "P13927_0856" "Ingridi" "P13927" "181" "Dupla2" "" "Cutia" "Dasyprocta azarae" "Dasyprocta" "Dasyproctidae" "" "Rodentia" "Mammalia" "não" -16.615494 -56.267425 123.2495728 3.21600008 "" "" "16022480211802496595775606689014-8_53_57.jpg" "Foto Toda Carcaca" "16022480974987952660742558835153-8_55_9.jpg" "Foto Cabeca Frente" "16022481202443641456714185630767-8_55_46.jpg" "Foto Cabeca Lado" "" "Sem Foto" "16022481678937197019435473923694-8_56_21.jpg" "Outra Foto 1" "" "Sem Foto" "Sim" "Não" "" 69790583 "707e0582-4643-4013-9548-80cbfb01ac61" "2020-10-09T15:50:05" "" 124 "dusma" "2020-10-09T08:52:16.980-04:00" "2020-10-09T08:57:25.092-04:00" "-16.615494 -56.267425 123.24957275390625 3.2160000801086426"
117 "09/10/2020" "08:04:00.000-03:00" "PTQ6_0803" "PTQ6_0803" "Ingridi" "PTQ6" "181" "Dupla2" "Quati" "" "Nasua nasua" "Nasua" "Procyonidae" "" "cf. Carnivora" "Mammalia" "sim" -16.6181 -56.2607 131 3.799999952 "" "" "1602241412363-372250269-8_3_37.jpg" "Foto Toda Carcaca" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "1602241423466-569225877-8_3_47.jpg" "Outra Foto 1" "" "Sem Foto" "Não" "Não" "" 69795037 "2c9da7aa-9236-4892-92f6-b18849e657f6" "2020-10-09T16:30:30" "" 130 "dusma" "2020-10-09T08:02:08.282-03:00" "2020-11-12T20:03:25.118-03:00" "-16.617791 -56.260259 131 3.799999952316284"
121 "09/10/2020" "07:43:00.000-04:00" "P13992_0742" "P13992_0742" "Ingridi" "P13992" "181" "Dupla1" "" "" "Tayassu pecari" "Tayassu" "Tayassuidae" "" "Artiodactyla" "Mammalia" "" -16.610434 -56.264108 130.0523071 9.647999763 "" "" "16022437796446538472101834366744-7_43_18.jpg" "Foto Toda Carcaca" "" "Sem Foto" "16022438194001393953337354821472-7_43_47.jpg" "Foto Cabeca Lado" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "Não" "Não" "" 69797393 "52b7150d-020a-4492-acaf-b3e7dc263ab3" "2020-10-09T16:52:20" "" 134 "dusma" "2020-10-09T07:41:56.686-04:00" "2020-10-09T07:44:02.910-04:00" "-16.610434 -56.264108 130.05230712890625 9.64799976348877"
122 "09/10/2020" "07:49:00.000-04:00" "P13992_0747" "P13992_0747" "Fernando" "P13992" "181" "Dupla2" "Caititu" "Caititu" "Pecari tajacu" "Pecari" "Tayassuidae" "" "Artiodactyla" "Mammalia" "sim" -16.610434 -56.264108 130.0523071 9.647999763 "" "" "16022441021918172460057315839287-7_48_29.jpg" "Foto Toda Carcaca" "16022441193974826322573588012403-7_48_56.jpg" "Foto Cabeca Frente" "16022441430111087916845126031916-7_49_13.jpg" "Foto Cabeca Lado" "" "Sem Foto" "1602244163588412327202583325543-7_49_29.jpg" "Outra Foto 1" "" "Sem Foto" "Não" "Não" "" 69797396 "e702c5f0-9ca6-4141-b9c0-8c1e5f9b4b16" "2020-10-09T16:52:24" "" 135 "dusma" "2020-10-09T07:47:19.878-04:00" "2020-10-09T07:50:38.661-04:00" "-16.610434 -56.264108 130.05230712890625 9.64799976348877"
123 "09/10/2020" "08:58:00.000-04:00" "P13974_0855" "P13974_0855" "Ingridi" "P13974" "181" "Dupla2" "" "Quati" "Nasua nasua" "Nasua" "Procyonidae" "" "Carnivora" "Mammalia" "não" -16.609 -56.2654 159.8950195 13.93599987 "" "" "16022482214171097958630500039699-8_57_13.jpg" "Foto Toda Carcaca" "" "Sem Foto" "16022482530627359898586529838667-8_57_44.jpg" "Foto Cabeca Lado" "" "Sem Foto" "16022482801578287164323405102306-8_58_13.jpg" "Outra Foto 1" "" "Sem Foto" "Não" "Não" "" 69797405 "7190652c-a27f-4938-8ae5-4bbf5397bdba" "2020-10-09T16:52:37" "" 136 "dusma" "2020-10-09T08:56:18.662-04:00" "2020-10-09T08:58:27.706-04:00" "-16.609522 -56.265094 159.89501953125 13.935999870300293"
