"plotID" "qdID" "greenVeg" "tanque" "OpenClosed" "fireDay" "deltaBurn" "dist2wiw" "dist2wclass" "forest0" "forest100" "forest200" "forest400" "forest600" "forest800" "forest1000" "class"
"P10176" "229" 13.17 0 1 40 489.949004364014 8532.30715820312 5777.8564860026 0 0 0.0419119696831692 0.185573424233552 0.294691540948276 0.399127138563758 0.461571294425632 0
"P10211" "229" 37.01 0 1 90 438.961623590643 8482.61525213068 6075.12341308594 0 0 0.00285531331163902 0.192043268225354 0.32582974137931 0.338462070856437 0.356927410864184 0
"P10241" "229" 0.18 0 1 45 658.356576538086 8135.57567027699 6873.76542154948 0.819712057484864 0.686727942808934 0.534957922424905 0.401858667846773 0.3003515625 0.244604843196393 0.231585252044071 1
"P1026" "15" 15.02 0 1 35 605.223468572443 702.29424621582 212.667411804199 0.659976220704109 0.311657166879593 0.337984085319908 0.375699265966791 0.26159213362069 0.241438424537016 0.202449472673984 1
"P10262" "229" 23.44 0 1 45 483.072627716064 8094.34407226563 6683.1973063151 1 0.955607604197377 0.714280982702515 0.44554874733364 0.316422413793103 0.270363439377524 0.235153515636115 1
"P1028" "15" 4.93 0 0 45 655.782091730291 537.175044555664 33.9918565750122 0.189976076692603 0.319484936831876 0.48706137323652 0.297860910844709 0.296355956857632 0.233610964709139 0.191855893050231 0
"P10298" "229" 15.2 0 1 55 572.500772094727 7862.02234552557 6758.34301757812 0 0.0731199029054364 0.212181934105607 0.257349131650242 0.237921605603448 0.221737151314616 0.260393074533729 0
"P10335" "229" 25.75 0 1 90 374.290425872803 7645.0549376937 6703.11560058594 0 0 0 0.0673151323769292 0.165837823275862 0.232515486036613 0.285080696272114 0
"P10338" "229" 24.98 0 1 90 424.78541519165 7703.10472301136 6482.65177408854 0 0 0.0433196156850406 0.251467805010665 0.248840247844828 0.275903008297375 0.27468162546272 0
"P10378" "229" 19.25 0 1 55 417.15048384233 7557.37979847301 6196.62809244792 0 0 0.0462182267525533 0.226670274255151 0.323401159853705 0.31186674404613 0.270446840736271 0
